,Date,Player1,Player2,Sets_P1,Sets_P2,G1_P1,G1_P2,G2_P1,G2_P2,G3_P1,G3_P2,G4_P1,G4_P2,G5_P1,G5_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,G5,G4,Odds_P1,Odds_P2,pythagorean_P1,pythagorean_P2,D_Sets,D_G1,D_G2,D_G3,D_G4,D_G5,D_Odds,D_Total,D_Total_Allowed
317,1759430700,375973,257583,1.9107006255936791,1.8562955820517384,9.837056947245594,9.56985019796026,9.219279802258619,9.221024346661194,8.997838575509626,8.81137638632215,7.9396361950743435,6.771433659692399,2.426827700003019,2.6774409861365753,40,27,67,39.07829689139567,37.9092183515158,0,0,1,1.39,2.775,0.4946663838025855,0.49176321622798713,0.054,0.267,-0.002,0.186,1.168,-0.251,-1.385,13,1.169
316,1759431000,807871,1033391,1.9731657488740937,2.3472062274115,9.291575461363161,9.36933165396571,9.609933743812123,9.552081176593711,8.988143452059406,9.910416316898663,6.391078272349107,7.876705347179619,2.6276579706653727,2.616618865740754,19,33,52,35.463797182082736,36.38817335080896,0,0,0,2.072,1.641,0.5087148725122485,0.519594144595528,-0.374,-0.078,0.058,-0.922,-1.486,0.011,0.431,-14,-0.924
315,1759431600,747671,1050239,1.6997876550186433,2.254616876760169,8.956143038182441,10.274469336744156,8.231811788958229,9.673120453141243,9.289601995982526,9.68772638922804,7.527683240661614,8.250831296778413,3.271658417965176,2.263125857176547,43,49,92,41.84032870845964,36.42185691357796,1,1,0,2.55,1.44,0.4457132544540586,0.5087501446355639,-0.555,-1.318,-1.441,-0.398,-0.723,1.009,1.11,-6,5.418
314,1759431900,384003,380926,2.014152952655941,1.9079689586191237,8.726780069922798,9.060229848486625,9.654666588357374,9.667650448913706,9.360920477951618,9.435890109059635,6.533160638987369,5.918318886880934,2.3975910332797796,2.359046644942698,31,42,73,36.25800027023787,35.90288700457658,0,0,1,2.42,1.478,0.5010195686167341,0.49760030894257357,0.106,-0.333,-0.013,-0.075,0.615,0.039,0.942,-11,0.355
313,1759431900,770453,273429,1.5580138518127706,2.5323403928146893,8.521249900571563,10.197265432067212,8.865352581251063,9.910102669352847,9.359856928188677,10.315323680218121,6.556857470218285,6.452298900103855,1.7291325911703963,3.9714769655203352,37,53,90,39.036869094131234,36.20987546810285,1,1,0,3.2,1.295,0.477019118981363,0.5182889312902131,-0.974,-1.676,-1.045,-0.955,0.105,-2.242,1.905,-16,2.827
312,1759432200,877899,659887,2.1412019332372147,1.8931652585115635,9.373933101553817,8.957834139326403,9.40440170183739,9.602138807687611,10.442637218197698,9.143939789747526,6.507142171846843,5.1633444873707015,3.7048106944946446,3.1634910761255766,39,35,74,37.08442867285575,35.81747049311624,0,0,1,1.475,2.428,0.5201930807968042,0.519833190469734,0.248,0.416,-0.198,1.299,1.344,0.541,-0.953,4,1.267
310,1759433100,380370,380385,1.7971449146812546,2.3343214100817837,9.14769745148477,9.504260464487219,8.942258741464727,9.79565876746646,8.688980721201887,10.757401000835179,5.864034438922938,7.084618736364356,3.8383965852383777,2.4241842032758614,39,47,86,38.09418337197686,35.79919880336315,1,1,0,1.649,2.06,0.475440410027116,0.5259508892358483,-0.537,-0.357,-0.853,-2.068,-1.221,1.414,-0.411,-8,2.295
309,1759433400,1071490,1023520,2.27385713633343,1.8526213505415245,9.355682254279769,9.195500798322938,9.852090876483445,9.599686444575003,9.986038459746242,9.724428441572996,8.042852027033156,6.6411681916841845,4.417056454467448,3.0694564562467583,35,42,77,39.76943623951551,39.796684322247174,1,0,1,1.545,2.285,0.5021055196733498,0.4888580999742351,0.421,0.16,0.252,0.262,1.402,1.348,-0.74,-7,-0.027
308,1759433700,832727,833546,1.8546716563518606,2.2004710906824503,9.94336163516383,9.99606766753421,8.82733154706624,9.785158380027287,9.63271728498875,9.612749263483575,5.446638147081003,6.24268643843676,1.1125972404292568,2.6973778766993353,13,33,46,34.89185926596242,36.524115712453835,0,0,0,1.905,1.785,0.5071314510974131,0.513739643219043,-0.346,-0.053,-0.958,0.02,-0.796,-1.585,0.12,-20,-1.632
307,1759434000,977429,659887,1.8195889045215845,1.8581356349102764,8.907028843799152,9.077146801811361,9.584149688641665,9.578523137924352,8.653061275972188,8.981415945836313,6.562616486747472,5.117718530558253,3.2318368992873023,3.0394200818648045,20,32,52,38.447164623375514,36.099166744435465,0,0,0,2.933,1.336,0.5056426213501739,0.5190447599827457,-0.039,-0.17,0.006,-0.328,1.445,0.192,1.597,-12,2.348
306,1759434000,977429,659887,1.8195889045215845,1.8581356349102764,8.907028843799152,9.077146801811361,9.584149688641665,9.578523137924352,8.653061275972188,8.981415945836313,6.562616486747472,5.117718530558253,3.2318368992873023,3.0394200818648045,22,34,56,38.447164623375514,36.099166744435465,0,0,0,2.933,1.336,0.5056426213501739,0.5190447599827457,-0.039,-0.17,0.006,-0.328,1.445,0.192,1.597,-12,2.348
305,1759434600,735031,807871,1.5885402490999994,2.0134337587247173,8.54280388195815,9.358572502098259,8.75743297000738,9.664446146019019,8.71103189466828,8.988608414723773,5.628818198041791,6.571820300895877,2.454052199051274,2.5246125600445213,41,44,85,37.71092109949149,35.288746312186056,1,1,0,2.574,1.423,0.5079631379095564,0.5089319177670724,-0.425,-0.816,-0.907,-0.278,-0.943,-0.071,1.151,-3,2.422
304,1759434900,384003,380385,2.0135979347911532,2.3615352766927606,8.659063190578605,9.565408377039446,9.707424772158967,9.681368348727009,9.268335342223343,10.767318785338414,6.708330845852857,7.040278013886241,2.5780776963589718,2.733894089824431,44,50,94,36.60082385920466,36.09357757147331,1,1,0,2.173,1.586,0.5009529256644084,0.5258757178407846,-0.348,-0.906,0.026,-1.499,-0.332,-0.156,0.587,-6,0.507
302,1759435500,832727,677426,1.821155120807284,2.2745031366043764,9.671072943577679,9.367071152217584,9.187044035431247,9.686215287801394,9.529473469886945,10.267613702658998,5.625201357006673,6.4671174404887894,1.068965976096919,3.3257367900704122,41,36,77,35.48433537320373,36.34073077818833,1,0,1,1.93,1.77,0.5068562316432375,0.5258657246155863,-0.453,0.304,-0.499,-0.738,-0.842,-2.257,0.16,5,-0.856
301,1759435800,684030,877899,1.964559087344492,2.174886240247591,9.437960743551432,9.045485536993798,9.262359266905214,9.466985241578158,9.195612880339157,10.150717514687384,7.258013539197453,6.6833638103141375,2.2164075804903876,3.990947105108306,51,52,103,38.5050354363671,37.35567547318189,1,1,0,2.42,1.478,0.49081874171403317,0.5197015690359824,-0.21,0.392,-0.205,-0.955,0.575,-1.775,0.942,-1,1.149
299,1759436700,380926,380370,1.8331466464173598,1.7647599330318662,8.861789462008758,8.816687333259766,9.602252392006983,8.741473469300175,9.26193363396426,8.782868690072874,5.6862279498332535,5.950810637610559,2.2665350116852196,3.6824570556915766,33,20,53,35.789048298364044,38.13098327414769,0,0,0,1.647,2.062,0.49722376939533885,0.47353917062489814,0.068,0.045,0.861,0.479,-0.265,-1.416,-0.415,13,-2.342
298,1759437000,747627,1023520,1.714264657169888,1.8584271087213,8.297057822437651,9.345373269276125,8.517974347687739,9.654849671463912,8.873162127771767,9.8140711288791,6.671766465199226,6.615910344043702,3.4763913621356037,3.1849007706901955,47,44,91,39.64976875671689,40.277415419165365,1,1,0,2.08,1.65,0.46706595794026273,0.48861060200776035,-0.144,-1.048,-1.137,-0.941,0.056,0.291,0.43,3,-0.628
