,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
36370,1732088100,968152,817602,1.8822173422203063,1.596919683756267,36.82851979817647,36.63795290692869,105,37.680794896409395,40.19525639376675,True,0.4910724313461767,0.4597738735262652,0.285,0.191,-2.514
36366,1732089600,816731,917579,2.0500267890173784,2.0762490909269418,38.47485576304184,37.215833272826984,55,35.49675926375139,36.811079393474806,False,0.5382277648276097,0.5139793205585276,-0.026,1.259,-1.314
36361,1732091400,815950,311807,2.0554963308540843,2.2457726902541886,36.77965758166122,38.04118279049053,91,36.08393324062989,36.74795117877253,True,0.5143213192708608,0.5134195904528505,-0.19,-1.262,-0.664
36356,1732093200,783710,816731,1.829706655248933,2.048280395671844,36.5266519782118,38.59791559874975,60,37.05212349912723,35.898327772713415,False,0.4957678784764587,0.5369520475133163,-0.219,-2.071,1.154
36351,1732095000,311807,811039,2.272414928964616,2.0758193870105375,38.35764301882577,35.69280102805803,53,36.93347394704927,35.28389465398462,False,0.5139808321008816,0.49443685630191175,0.197,2.665,1.65
36350,1732095300,968152,747620,1.816783892612286,2.2030378787634186,36.24349272532387,36.62912384151616,82,37.51807162842676,32.79415681542134,True,0.4892902078946663,0.5539746676224684,-0.386,-0.386,4.724
36346,1732096800,815950,917579,1.9852400564939925,2.002514539388942,36.37703226800704,36.56892809023966,53,36.01270500085922,36.746761905047656,False,0.5130049049623782,0.5112710998950196,-0.017,-0.192,-0.734
36341,1732098600,783710,311807,1.8713851741237202,2.298051021541104,36.4010547237303,38.76785558813148,91,36.51606113820058,37.07675593909152,True,0.4976538582311067,0.5151194957730171,-0.427,-2.367,-0.561
36340,1732098900,747620,817602,2.23074348939068,1.5560241674212172,36.850601135728816,36.61178511105962,101,32.52320055772515,40.473981841091174,True,0.5560239534170622,0.45833779668307456,0.675,0.239,-7.951
36337,1732100400,815950,816731,1.985743845433619,1.976928070394309,36.53482420065767,38.0197233379472,86,36.49012176827357,35.79736384881093,True,0.511657072266816,0.535034447378532,0.009,-1.485,0.693
36333,1732102200,811039,917579,2.0026789391152247,2.0378422656469275,35.210342098152836,36.442528137974506,94,35.20342277912719,36.22447903642913,True,0.4927088803138704,0.5129167568298811,-0.035,-1.232,-1.021
36328,1732104000,783710,815950,1.9114660624953423,2.02031610196315,36.31578523749856,36.414335063370466,45,36.14260062454649,35.928034254769955,False,0.49900543570263556,0.5132586890976145,-0.109,-0.099,0.215
36324,1732105800,311807,917579,2.217278054925397,1.9658577599229687,38.108194267012536,35.86171416585452,70,36.93346422438111,36.11057790994477,False,0.5130608618445973,0.5107449535805664,0.251,2.246,0.823
36321,1732107300,629518,757785,2.085364773713703,1.872289285512132,38.910368659173976,37.56919877267135,91,38.870950686329415,38.510715388685206,True,0.49294465797999015,0.5022154861982406,0.213,1.341,0.36
36320,1732107600,816731,811039,1.9082020947212581,2.037733243828601,37.60186938256489,35.13265196558839,46,35.73488024811808,34.66904580095227,False,0.5335544775871487,0.49486328465397267,-0.13,2.469,1.066
36316,1732109400,917579,816731,1.9670607445116133,1.8766916355043295,36.254166042830505,37.65037812093567,98,36.494261198564,36.12572838486944,True,0.5105733334750907,0.5319723283488567,0.09,-1.396,0.369
36312,1732111200,311807,815950,2.244724712581147,2.053666580944172,38.34985994889809,36.77469313057627,88,37.251388239573124,36.032610362657415,True,0.5127246912775327,0.5141256618057941,0.191,1.575,1.219
36311,1732111500,1016369,817602,1.9536167978713317,1.5182368836006839,38.63260442663333,36.6874414072587,62,39.26231994651041,40.695909236910396,False,0.494625988092395,0.45761894542709153,0.435,1.945,-1.434
36309,1732113000,783710,811039,1.9146016497617373,2.071475757880163,36.65876897176132,35.54878829705548,52,36.45630121753757,35.101438786225906,False,0.4991846378264871,0.4949466170649343,-0.157,1.11,1.355
36299,1732116600,747673,962341,2.095591597231039,1.6302728970441476,38.80585083221063,33.67063413296902,94,37.197841601802644,36.37680737147157,True,0.5151726409014196,0.4808642981133826,0.465,5.135,0.821
