Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751266200,727486,1000354,1,3,9,11,5,11,11,6,9,11,0,0,0
1751265300,898479,1097691,1,3,11,7,6,11,9,11,7,11,0,0,0
1751265000,311807,820666,3,1,11,6,6,11,11,4,11,7,0,0,1
1751264400,482831,808048,3,1,11,9,9,11,11,5,11,4,0,0,1
1751263500,748305,804365,3,0,11,8,13,11,11,9,0,0,0,0,1
1751263200,816731,981770,3,0,11,6,11,8,11,9,0,0,0,0,1
1751261400,1016369,820666,2,3,11,9,11,9,7,11,7,11,5,11,0
1751259600,311807,707970,1,3,11,9,6,11,7,11,7,11,0,0,0
1751257800,771955,765290,3,2,11,9,8,11,10,12,11,5,11,6,1
1751256000,1073817,1071490,3,2,11,4,11,8,6,11,7,11,11,7,1
1751254200,765290,1071490,1,3,11,9,8,11,7,11,4,11,0,0,0
1751252400,1073817,943432,2,3,8,11,6,11,11,6,11,8,4,11,0
1751250600,943432,765290,0,3,9,11,5,11,7,11,0,0,0,0,0
1751248800,1073817,771955,3,2,8,11,11,8,13,11,9,11,11,6,1
1751247000,771955,1071490,3,0,11,9,11,7,11,7,0,0,0,0,1
1751245200,1073817,765290,0,3,8,11,4,11,9,11,0,0,0,0,0
1751243400,943432,771955,3,2,11,9,4,11,10,12,12,10,12,10,1
1751241600,1073817,1071490,3,1,11,8,10,12,11,8,11,6,0,0,1
1751239800,771955,765290,3,0,15,13,12,10,14,12,0,0,0,0,1
1751238000,943432,1071490,1,3,11,4,9,11,6,11,11,13,0,0,0
1751236500,729974,514114,3,2,11,5,7,11,8,11,11,6,11,6,1
1751235000,898479,968152,2,3,13,11,11,8,9,11,9,11,9,11,0
1751234700,380926,629518,1,3,5,11,7,11,11,5,9,11,0,0,0
1751233800,877899,755083,3,0,11,3,11,5,11,6,0,0,0,0,1
1751233200,750669,1016369,1,3,11,13,8,11,13,11,10,12,0,0,0
1751232300,514114,729974,2,3,14,12,7,11,3,11,11,7,4,11,0
1751232000,977429,920400,3,0,16,14,11,4,11,6,0,0,0,0,1
1751230800,750669,968152,2,3,11,6,12,10,8,11,6,11,4,11,0
1751230500,380926,629518,3,2,9,11,4,11,11,9,11,3,12,10,1
1751230200,977429,755083,0,3,10,12,6,11,6,11,0,0,0,0,0
1751229900,820666,804365,3,2,11,5,10,12,11,3,14,16,11,9,1
1751228700,729974,629518,3,0,11,9,11,7,11,7,0,0,0,0,1
1751228400,920400,877899,3,1,11,8,7,11,13,11,11,8,0,0,1
1751228100,783710,747620,1,3,6,11,11,9,8,11,10,12,0,0,0
1751227200,817602,898479,3,2,11,9,11,7,6,11,10,12,11,9,1
1751226900,380926,514114,1,3,7,11,9,11,11,7,11,13,0,0,0
1751226600,755083,877899,1,3,12,10,8,11,5,11,5,11,0,0,0
1751225700,804365,820666,1,3,10,12,7,11,11,9,7,11,0,0,0
1751225400,968152,896952,1,3,11,7,15,17,9,11,9,11,0,0,0
1751225100,629518,514114,2,3,11,13,11,3,11,9,5,11,7,11,0
